business_id,product_id,category,price,cost,launch_date
UAE_032,P_UAE_032_3,Retail,3987,2264,2022-01-01
UAE_032,P_UAE_032_4,Retail,3049,1272,2022-01-01
UAE_033,P_UAE_033_1,Retail,11440,7004,2022-01-01
UAE_033,P_UAE_033_2,Retail,12085,4391,2022-01-01
UAE_033,P_UAE_033_3,Retail,4892,1847,2022-01-01
UAE_034,P_UAE_034_1,Retail,3391,2271,2022-01-01
UAE_034,P_UAE_034_2,Retail,3658,2266,2022-01-01
UAE_035,P_UAE_035_1,Retail,632,316,2022-01-01
UAE_035,P_UAE_035_2,Retail,1723,941,2022-01-01
UAE_035,P_UAE_035_3,Retail,2139,1368,2022-01-01
UAE_036,P_UAE_036_1,Retail,1552,1009,2022-01-01
UAE_036,P_UAE_036_2,Retail,1523,789,2022-01-01
UAE_037,P_UAE_037_1,Retail,845,367,2022-01-01
UAE_037,P_UAE_037_2,Retail,2066,793,2022-01-01
UAE_037,P_UAE_037_3,Retail,1157,524,2022-01-01
UAE_038,P_UAE_038_1,Retail,639,278,2022-01-01
UAE_038,P_UAE_038_2,Retail,856,584,2022-01-01
UAE_038,P_UAE_038_3,Retail,2221,881,2022-01-01
UAE_038,P_UAE_038_4,Retail,387,249,2022-01-01
UAE_039,P_UAE_039_1,Retail,1532,970,2022-01-01
UAE_039,P_UAE_039_2,Retail,975,635,2022-01-01
UAE_039,P_UAE_039_3,Retail,2512,1214,2022-01-01
UAE_039,P_UAE_039_4,Retail,1305,617,2022-01-01
UAE_040,P_UAE_040_1,Retail,692,458,2022-01-01
UAE_040,P_UAE_040_2,Retail,612,335,2022-01-01
UAE_041,P_UAE_041_1,Retail,1678,1010,2022-01-01
UAE_041,P_UAE_041_2,Retail,2240,1543,2022-01-01
UAE_041,P_UAE_041_3,Retail,1200,445,2022-01-01
UAE_041,P_UAE_041_4,Retail,2102,822,2022-01-01
UAE_042,P_UAE_042_1,Retail,2950,1670,2022-01-01
UAE_042,P_UAE_042_2,Retail,1207,663,2022-01-01
UAE_042,P_UAE_042_3,Retail,633,276,2022-01-01
UAE_043,P_UAE_043_1,Retail,3308,2223,2022-01-01
UAE_043,P_UAE_043_2,Retail,1177,442,2022-01-01
UAE_044,P_UAE_044_1,Retail,294,146,2022-01-01
UAE_044,P_UAE_044_2,Retail,231,137,2022-01-01
UAE_045,P_UAE_045_1,Manufacturing,727,393,2022-01-01
UAE_045,P_UAE_045_2,Manufacturing,791,277,2022-01-01
UAE_045,P_UAE_045_3,Manufacturing,971,546,2022-01-01
UAE_045,P_UAE_045_4,Manufacturing,1956,704,2022-01-01
UAE_046,P_UAE_046_1,Retail,1567,597,2022-01-01
UAE_046,P_UAE_046_2,Retail,2333,934,2022-01-01
UAE_047,P_UAE_047_1,Retail,3350,2015,2022-01-01
UAE_047,P_UAE_047_2,Retail,2463,1325,2022-01-01
UAE_047,P_UAE_047_3,Retail,3404,2018,2022-01-01
UAE_048,P_UAE_048_1,Retail,839,450,2022-01-01
UAE_048,P_UAE_048_2,Retail,1949,836,2022-01-01
UAE_049,P_UAE_049_1,Services,1551,791,2022-01-01
UAE_049,P_UAE_049_2,Services,2482,1030,2022-01-01
UAE_050,P_UAE_050_1,Retail,3067,1987,2022-01-01
UAE_050,P_UAE_050_2,Retail,3346,1316,2022-01-01
UAE_051,P_UAE_051_1,Retail,523,204,2022-01-01
UAE_051,P_UAE_051_2,Retail,175,86,2022-01-01
UAE_051,P_UAE_051_3,Retail,776,350,2022-01-01
UAE_051,P_UAE_051_4,Retail,2456,1026,2022-01-01
UAE_052,P_UAE_052_1,Retail,898,364,2022-01-01
UAE_052,P_UAE_052_2,Retail,256,105,2022-01-01
UAE_052,P_UAE_052_3,Retail,939,457,2022-01-01
UAE_053,P_UAE_053_1,Manufacturing,2053,928,2022-01-01
UAE_053,P_UAE_053_2,Manufacturing,796,351,2022-01-01
UAE_053,P_UAE_053_3,Manufacturing,812,499,2022-01-01
UAE_053,P_UAE_053_4,Manufacturing,3644,1829,2022-01-01
UAE_054,P_UAE_054_1,Retail,1812,724,2022-01-01
UAE_054,P_UAE_054_2,Retail,2592,1798,2022-01-01
UAE_054,P_UAE_054_3,Retail,1438,561,2022-01-01
UAE_055,P_UAE_055_1,Retail,2855,1619,2022-01-01
UAE_055,P_UAE_055_2,Retail,1589,730,2022-01-01
UAE_056,P_UAE_056_1,Manufacturing,2071,969,2022-01-01
UAE_056,P_UAE_056_2,Manufacturing,840,356,2022-01-01
UAE_056,P_UAE_056_3,Manufacturing,1275,671,2022-01-01
UAE_057,P_UAE_057_1,Services,1995,893,2022-01-01
UAE_057,P_UAE_057_2,Services,3419,1754,2022-01-01
UAE_058,P_UAE_058_1,Retail,10615,5220,2022-01-01
UAE_058,P_UAE_058_2,Retail,7040,4168,2022-01-01
UAE_058,P_UAE_058_3,Retail,670,373,2022-01-01
UAE_059,P_UAE_059_1,Services,2166,1176,2022-01-01
UAE_059,P_UAE_059_2,Services,2679,1262,2022-01-01
UAE_060,P_UAE_060_1,Services,1045,446,2022-01-01
UAE_060,P_UAE_060_2,Services,4682,1859,2022-01-01
UAE_060,P_UAE_060_3,Services,8101,3454,2022-01-01
UAE_061,P_UAE_061_1,Retail,1317,921,2022-01-01
UAE_061,P_UAE_061_2,Retail,1569,1056,2022-01-01
UAE_062,P_UAE_062_1,Retail,2378,1161,2022-01-01
UAE_062,P_UAE_062_2,Retail,1360,747,2022-01-01
UAE_063,P_UAE_063_1,Retail,2209,1045,2022-01-01
UAE_063,P_UAE_063_2,Retail,268,126,2022-01-01
UAE_064,P_UAE_064_1,Retail,1079,752,2022-01-01
UAE_064,P_UAE_064_2,Retail,533,221,2022-01-01
UAE_064,P_UAE_064_3,Retail,2443,1417,2022-01-01
UAE_064,P_UAE_064_4,Retail,1347,503,2022-01-01
UAE_065,P_UAE_065_1,Retail,1451,677,2022-01-01
UAE_065,P_UAE_065_2,Retail,630,400,2022-01-01
UAE_065,P_UAE_065_3,Retail,1825,1103,2022-01-01
UAE_066,P_UAE_066_1,Retail,56416,32343,2022-01-01
UAE_066,P_UAE_066_2,Retail,84852,29907,2022-01-01
UAE_066,P_UAE_066_3,Retail,44435,23430,2022-01-01
UAE_067,P_UAE_067_1,Retail,2071,808,2022-01-01
UAE_067,P_UAE_067_2,Retail,2946,1567,2022-01-01
UAE_067,P_UAE_067_3,Retail,3440,1686,2022-01-01
UAE_068,P_UAE_068_1,Retail,25594,16049,2022-01-01
UAE_068,P_UAE_068_2,Retail,26100,10575,2022-01-01
UAE_068,P_UAE_068_3,Retail,21606,14823,2022-01-01
UAE_069,P_UAE_069_1,Retail,2021,1312,2022-01-01
UAE_069,P_UAE_069_2,Retail,4301,1880,2022-01-01
UAE_070,P_UAE_070_1,Retail,8581,3419,2022-01-01
UAE_070,P_UAE_070_2,Retail,55974,34422,2022-01-01
UAE_071,P_UAE_071_1,Manufacturing,6923,4597,2022-01-01
UAE_071,P_UAE_071_2,Manufacturing,6585,3450,2022-01-01
UAE_072,P_UAE_072_1,Services,4475,2244,2022-01-01
UAE_072,P_UAE_072_2,Services,5398,3403,2022-01-01
UAE_072,P_UAE_072_3,Services,3260,1201,2022-01-01
UAE_072,P_UAE_072_4,Services,2117,1349,2022-01-01
UAE_073,P_UAE_073_1,Retail,1112,646,2022-01-01
UAE_073,P_UAE_073_2,Retail,478,233,2022-01-01
UAE_073,P_UAE_073_3,Retail,357,245,2022-01-01
UAE_073,P_UAE_073_4,Retail,613,427,2022-01-01
UAE_074,P_UAE_074_1,Services,2566,1768,2022-01-01
UAE_074,P_UAE_074_2,Services,165,76,2022-01-01
UAE_075,P_UAE_075_1,Retail,1024,422,2022-01-01
UAE_075,P_UAE_075_2,Retail,767,449,2022-01-01
UAE_075,P_UAE_075_3,Retail,297,174,2022-01-01
UAE_076,P_UAE_076_1,Retail,815,310,2022-01-01
UAE_076,P_UAE_076_2,Retail,3267,1691,2022-01-01
UAE_076,P_UAE_076_3,Retail,1040,656,2022-01-01
UAE_076,P_UAE_076_4,Retail,3277,1893,2022-01-01
UAE_077,P_UAE_077_1,Manufacturing,2078,872,2022-01-01
UAE_077,P_UAE_077_2,Manufacturing,1972,935,2022-01-01
UAE_078,P_UAE_078_1,Retail,800,369,2022-01-01
UAE_078,P_UAE_078_2,Retail,1389,877,2022-01-01
UAE_078,P_UAE_078_3,Retail,2440,1551,2022-01-01
UAE_078,P_UAE_078_4,Retail,1035,679,2022-01-01
UAE_079,P_UAE_079_1,Retail,2160,996,2022-01-01
UAE_079,P_UAE_079_2,Retail,449,167,2022-01-01
UAE_079,P_UAE_079_3,Retail,1451,815,2022-01-01
UAE_080,P_UAE_080_1,Retail,31848,18077,2022-01-01
UAE_080,P_UAE_080_2,Retail,27639,16347,2022-01-01
UAE_081,P_UAE_081_1,Retail,1913,1177,2022-01-01
UAE_081,P_UAE_081_2,Retail,1470,939,2022-01-01
UAE_082,P_UAE_082_1,Services,706,282,2022-01-01
UAE_082,P_UAE_082_2,Services,244,91,2022-01-01
UAE_082,P_UAE_082_3,Services,3883,2437,2022-01-01
UAE_083,P_UAE_083_1,Retail,301,197,2022-01-01
UAE_083,P_UAE_083_2,Retail,342,124,2022-01-01
UAE_083,P_UAE_083_3,Retail,2175,811,2022-01-01
UAE_084,P_UAE_084_1,Retail,9652,6482,2022-01-01
UAE_084,P_UAE_084_2,Retail,7862,3507,2022-01-01
UAE_084,P_UAE_084_3,Retail,9585,3733,2022-01-01
UAE_085,P_UAE_085_1,Retail,17454,8895,2022-01-01
UAE_085,P_UAE_085_2,Retail,32718,16569,2022-01-01
UAE_086,P_UAE_086_1,Retail,1493,984,2022-01-01
UAE_086,P_UAE_086_2,Retail,1417,836,2022-01-01
UAE_086,P_UAE_086_3,Retail,979,444,2022-01-01
UAE_086,P_UAE_086_4,Retail,905,349,2022-01-01
UAE_087,P_UAE_087_1,Retail,200,105,2022-01-01
UAE_087,P_UAE_087_2,Retail,726,291,2022-01-01
UAE_088,P_UAE_088_1,Retail,40021,20101,2022-01-01
UAE_088,P_UAE_088_2,Retail,11981,4911,2022-01-01
UAE_088,P_UAE_088_3,Retail,30349,11671,2022-01-01
UAE_088,P_UAE_088_4,Retail,12482,7093,2022-01-01
UAE_089,P_UAE_089_1,Retail,1163,579,2022-01-01
UAE_089,P_UAE_089_2,Retail,967,548,2022-01-01
UAE_089,P_UAE_089_3,Retail,1156,729,2022-01-01
UAE_089,P_UAE_089_4,Retail,1491,636,2022-01-01
UAE_090,P_UAE_090_1,Retail,9698,6569,2022-01-01
UAE_090,P_UAE_090_2,Retail,2442,1413,2022-01-01
UAE_090,P_UAE_090_3,Retail,10006,5165,2022-01-01
UAE_090,P_UAE_090_4,Retail,3981,2655,2022-01-01
UAE_091,P_UAE_091_1,Retail,7343,3742,2022-01-01
UAE_091,P_UAE_091_2,Retail,3505,1954,2022-01-01
UAE_091,P_UAE_091_3,Retail,1347,735,2022-01-01
UAE_092,P_UAE_092_1,Retail,2105,1265,2022-01-01
UAE_092,P_UAE_092_2,Retail,12276,8500,2022-01-01
UAE_092,P_UAE_092_3,Retail,1173,672,2022-01-01
UAE_093,P_UAE_093_1,Retail,1445,602,2022-01-01
UAE_093,P_UAE_093_2,Retail,867,456,2022-01-01
UAE_093,P_UAE_093_3,Retail,2262,1098,2022-01-01
UAE_094,P_UAE_094_1,Retail,319,160,2022-01-01
UAE_094,P_UAE_094_2,Retail,3317,1571,2022-01-01
UAE_094,P_UAE_094_3,Retail,3913,1894,2022-01-01
UAE_094,P_UAE_094_4,Retail,3167,1380,2022-01-01
UAE_095,P_UAE_095_1,Retail,6145,3706,2022-01-01
UAE_095,P_UAE_095_2,Retail,2812,1830,2022-01-01
UAE_095,P_UAE_095_3,Retail,4197,1473,2022-01-01
UAE_095,P_UAE_095_4,Retail,6096,3121,2022-01-01
UAE_096,P_UAE_096_1,Services,553,339,2022-01-01
UAE_096,P_UAE_096_2,Services,1254,557,2022-01-01
UAE_096,P_UAE_096_3,Services,1761,873,2022-01-01
UAE_097,P_UAE_097_1,Retail,717,412,2022-01-01
UAE_097,P_UAE_097_2,Retail,1753,1183,2022-01-01
UAE_097,P_UAE_097_3,Retail,604,232,2022-01-01
UAE_097,P_UAE_097_4,Retail,240,125,2022-01-01
UAE_098,P_UAE_098_1,Retail,1478,653,2022-01-01
UAE_098,P_UAE_098_2,Retail,2062,1226,2022-01-01
UAE_098,P_UAE_098_3,Retail,662,362,2022-01-01
UAE_099,P_UAE_099_1,Services,2763,1038,2022-01-01
UAE_099,P_UAE_099_2,Services,2635,1394,2022-01-01
UAE_099,P_UAE_099_3,Services,305,113,2022-01-01
UAE_099,P_UAE_099_4,Services,925,438,2022-01-01
UAE_100,P_UAE_100_1,Retail,1951,1287,2022-01-01
UAE_100,P_UAE_100_2,Retail,2089,985,2022-01-01
UAE_101,P_UAE_101_1,Retail,2188,1207,2022-01-01
UAE_101,P_UAE_101_2,Retail,2290,1113,2022-01-01
UAE_101,P_UAE_101_3,Retail,1588,710,2022-01-01
UAE_101,P_UAE_101_4,Retail,456,185,2022-01-01
UAE_102,P_UAE_102_1,Retail,3194,1798,2022-01-01
UAE_102,P_UAE_102_2,Retail,2428,1619,2022-01-01
UAE_102,P_UAE_102_3,Retail,207,111,2022-01-01
UAE_103,P_UAE_103_1,Retail,3676,1494,2022-01-01
UAE_103,P_UAE_103_2,Retail,3766,1639,2022-01-01
UAE_103,P_UAE_103_3,Retail,1726,915,2022-01-01
UAE_103,P_UAE_103_4,Retail,3244,1577,2022-01-01
UAE_104,P_UAE_104_1,Retail,656,454,2022-01-01
UAE_104,P_UAE_104_2,Retail,1391,604,2022-01-01
UAE_104,P_UAE_104_3,Retail,1583,790,2022-01-01
UAE_104,P_UAE_104_4,Retail,2407,1305,2022-01-01
UAE_105,P_UAE_105_1,Manufacturing,1634,628,2022-01-01
UAE_105,P_UAE_105_2,Manufacturing,15057,8573,2022-01-01
UAE_105,P_UAE_105_3,Manufacturing,7789,4237,2022-01-01
UAE_106,P_UAE_106_1,Retail,10622,7119,2022-01-01
UAE_106,P_UAE_106_2,Retail,4111,2816,2022-01-01
UAE_106,P_UAE_106_3,Retail,48680,21336,2022-01-01
UAE_107,P_UAE_107_1,Services,720,417,2022-01-01
UAE_107,P_UAE_107_2,Services,2379,1382,2022-01-01
UAE_108,P_UAE_108_1,Services,782,416,2022-01-01
UAE_108,P_UAE_108_2,Services,1097,442,2022-01-01
UAE_109,P_UAE_109_1,Retail,3769,1594,2022-01-01
UAE_109,P_UAE_109_2,Retail,2563,1458,2022-01-01
UAE_109,P_UAE_109_3,Retail,2711,1323,2022-01-01
UAE_109,P_UAE_109_4,Retail,891,393,2022-01-01
UAE_110,P_UAE_110_1,Manufacturing,2013,862,2022-01-01
UAE_110,P_UAE_110_2,Manufacturing,2194,858,2022-01-01
UAE_110,P_UAE_110_3,Manufacturing,1944,1258,2022-01-01
UAE_111,P_UAE_111_1,Retail,1011,563,2022-01-01
UAE_111,P_UAE_111_2,Retail,874,347,2022-01-01
UAE_111,P_UAE_111_3,Retail,1082,465,2022-01-01
UAE_112,P_UAE_112_1,Retail,772,292,2022-01-01
UAE_112,P_UAE_112_2,Retail,621,400,2022-01-01
UAE_112,P_UAE_112_3,Retail,745,386,2022-01-01
UAE_113,P_UAE_113_1,Manufacturing,2029,1403,2022-01-01
UAE_113,P_UAE_113_2,Manufacturing,1263,567,2022-01-01
UAE_113,P_UAE_113_3,Manufacturing,1958,1270,2022-01-01
UAE_113,P_UAE_113_4,Manufacturing,1626,843,2022-01-01
UAE_114,P_UAE_114_1,Retail,20287,7934,2022-01-01
UAE_114,P_UAE_114_2,Retail,9408,5530,2022-01-01
UAE_114,P_UAE_114_3,Retail,21767,14171,2022-01-01
UAE_115,P_UAE_115_1,Services,1336,542,2022-01-01
UAE_115,P_UAE_115_2,Services,780,300,2022-01-01
UAE_115,P_UAE_115_3,Services,2107,1474,2022-01-01
UAE_115,P_UAE_115_4,Services,1788,655,2022-01-01
UAE_116,P_UAE_116_1,Services,234,126,2022-01-01
UAE_116,P_UAE_116_2,Services,1626,592,2022-01-01
UAE_117,P_UAE_117_1,Services,124,58,2022-01-01
UAE_117,P_UAE_117_2,Services,1766,822,2022-01-01
UAE_118,P_UAE_118_1,Retail,5582,2467,2022-01-01
UAE_118,P_UAE_118_2,Retail,3602,2145,2022-01-01
UAE_118,P_UAE_118_3,Retail,1492,568,2022-01-01
UAE_118,P_UAE_118_4,Retail,2127,1457,2022-01-01
UAE_119,P_UAE_119_1,Retail,3097,1144,2022-01-01
UAE_119,P_UAE_119_2,Retail,1145,622,2022-01-01
UAE_120,P_UAE_120_1,Retail,1602,1072,2022-01-01
UAE_120,P_UAE_120_2,Retail,1979,1109,2022-01-01
UAE_120,P_UAE_120_3,Retail,933,601,2022-01-01
UAE_121,P_UAE_121_1,Services,3453,2208,2022-01-01
UAE_121,P_UAE_121_2,Services,1998,1069,2022-01-01
UAE_121,P_UAE_121_3,Services,1829,676,2022-01-01
UAE_122,P_UAE_122_1,Retail,1953,1060,2022-01-01
UAE_122,P_UAE_122_2,Retail,1234,491,2022-01-01
UAE_123,P_UAE_123_1,Retail,15214,5700,2022-01-01
UAE_123,P_UAE_123_2,Retail,915,358,2022-01-01
UAE_124,P_UAE_124_1,Retail,958,581,2022-01-01
UAE_124,P_UAE_124_2,Retail,1633,698,2022-01-01
UAE_124,P_UAE_124_3,Retail,861,363,2022-01-01
UAE_124,P_UAE_124_4,Retail,1919,757,2022-01-01
UAE_125,P_UAE_125_1,Retail,864,598,2022-01-01
UAE_125,P_UAE_125_2,Retail,870,367,2022-01-01
UAE_126,P_UAE_126_1,Manufacturing,3194,2175,2022-01-01
UAE_126,P_UAE_126_2,Manufacturing,3619,2389,2022-01-01
UAE_126,P_UAE_126_3,Manufacturing,4058,1845,2022-01-01
UAE_126,P_UAE_126_4,Manufacturing,3234,1977,2022-01-01
UAE_127,P_UAE_127_1,Retail,4231,2552,2022-01-01
UAE_127,P_UAE_127_2,Retail,3654,2286,2022-01-01
UAE_127,P_UAE_127_3,Retail,1924,779,2022-01-01
UAE_128,P_UAE_128_1,Retail,4067,1879,2022-01-01
UAE_128,P_UAE_128_2,Retail,2542,1066,2022-01-01
UAE_128,P_UAE_128_3,Retail,4096,2777,2022-01-01
UAE_129,P_UAE_129_1,Services,1850,706,2022-01-01
UAE_129,P_UAE_129_2,Services,464,254,2022-01-01
UAE_130,P_UAE_130_1,Retail,279,162,2022-01-01
UAE_130,P_UAE_130_2,Retail,2291,802,2022-01-01
UAE_130,P_UAE_130_3,Retail,618,287,2022-01-01
UAE_130,P_UAE_130_4,Retail,2063,799,2022-01-01
UAE_131,P_UAE_131_1,Retail,228,87,2022-01-01
UAE_131,P_UAE_131_2,Retail,509,283,2022-01-01
UAE_131,P_UAE_131_3,Retail,683,359,2022-01-01
UAE_132,P_UAE_132_1,Retail,3480,2034,2022-01-01
UAE_132,P_UAE_132_2,Retail,3707,1832,2022-01-01
UAE_132,P_UAE_132_3,Retail,605,341,2022-01-01
UAE_133,P_UAE_133_1,Services,797,344,2022-01-01
UAE_133,P_UAE_133_2,Services,725,310,2022-01-01
UAE_134,P_UAE_134_1,Services,1202,762,2022-01-01
UAE_134,P_UAE_134_2,Services,3681,2130,2022-01-01
UAE_135,P_UAE_135_1,Retail,1816,754,2022-01-01
UAE_135,P_UAE_135_2,Retail,1614,860,2022-01-01
UAE_135,P_UAE_135_3,Retail,1135,576,2022-01-01
UAE_136,P_UAE_136_1,Retail,882,359,2022-01-01
UAE_136,P_UAE_136_2,Retail,522,185,2022-01-01
UAE_136,P_UAE_136_3,Retail,830,370,2022-01-01
UAE_136,P_UAE_136_4,Retail,1256,650,2022-01-01
UAE_137,P_UAE_137_1,Retail,26902,16032,2022-01-01
UAE_137,P_UAE_137_2,Retail,44835,18422,2022-01-01
UAE_138,P_UAE_138_1,Retail,137,51,2022-01-01
UAE_138,P_UAE_138_2,Retail,451,222,2022-01-01
UAE_138,P_UAE_138_3,Retail,1744,839,2022-01-01
UAE_138,P_UAE_138_4,Retail,2051,1393,2022-01-01
UAE_139,P_UAE_139_1,Retail,3593,2047,2022-01-01
UAE_139,P_UAE_139_2,Retail,2899,1751,2022-01-01
UAE_139,P_UAE_139_3,Retail,1297,705,2022-01-01
UAE_139,P_UAE_139_4,Retail,3088,2082,2022-01-01
UAE_140,P_UAE_140_1,Retail,2606,1381,2022-01-01
UAE_140,P_UAE_140_2,Retail,1433,880,2022-01-01
UAE_140,P_UAE_140_3,Retail,375,148,2022-01-01
UAE_140,P_UAE_140_4,Retail,3061,1459,2022-01-01
UAE_141,P_UAE_141_1,Services,1442,887,2022-01-01
UAE_141,P_UAE_141_2,Services,1600,839,2022-01-01
UAE_141,P_UAE_141_3,Services,802,537,2022-01-01
UAE_141,P_UAE_141_4,Services,1724,967,2022-01-01
UAE_142,P_UAE_142_1,Retail,2071,1382,2022-01-01
UAE_142,P_UAE_142_2,Retail,1122,451,2022-01-01
UAE_143,P_UAE_143_1,Retail,16023,9882,2022-01-01
UAE_143,P_UAE_143_2,Retail,15344,9556,2022-01-01
UAE_143,P_UAE_143_3,Retail,6974,2740,2022-01-01
UAE_143,P_UAE_143_4,Retail,5084,3261,2022-01-01
UAE_144,P_UAE_144_1,Manufacturing,1158,496,2022-01-01
UAE_144,P_UAE_144_2,Manufacturing,1023,650,2022-01-01
UAE_144,P_UAE_144_3,Manufacturing,2963,1747,2022-01-01
UAE_145,P_UAE_145_1,Retail,1690,628,2022-01-01
UAE_145,P_UAE_145_2,Retail,2116,1462,2022-01-01
UAE_145,P_UAE_145_3,Retail,1269,604,2022-01-01
UAE_146,P_UAE_146_1,Retail,627,300,2022-01-01
UAE_146,P_UAE_146_2,Retail,1976,1141,2022-01-01
UAE_147,P_UAE_147_1,Services,349,130,2022-01-01
