business_id,month,leads_in,opportunities,proposals_sent,deals_closed,pipeline_value
UAE_002,2025-04,33,13,6,1,30430
UAE_002,2025-05,85,34,17,3,31904
UAE_002,2025-06,55,22,11,2,19590
UAE_002,2025-07,62,24,12,2,61375
UAE_002,2025-08,13,5,2,1,4547
UAE_002,2025-09,78,31,15,1,64776
UAE_002,2025-10,32,12,6,1,10825
UAE_002,2025-11,39,15,7,1,44557
UAE_002,2025-12,10,4,2,1,9636
UAE_003,2023-01,12,4,2,1,7009
UAE_003,2023-02,38,15,7,1,44367
UAE_003,2023-03,54,21,10,2,59832
UAE_003,2023-04,55,22,11,2,26686
UAE_003,2023-05,61,24,12,1,67530
UAE_003,2023-06,70,28,14,1,51535
UAE_003,2023-07,68,27,13,2,79506
UAE_003,2023-08,66,26,13,2,37416
UAE_003,2023-09,46,18,9,1,21501
UAE_003,2023-10,34,13,6,1,23134
UAE_003,2023-11,49,19,9,1,29221
UAE_003,2023-12,41,16,8,1,30551
UAE_003,2024-01,10,4,2,1,5708
UAE_003,2024-02,31,12,6,1,12260
UAE_003,2024-03,53,21,10,1,55936
UAE_003,2024-04,71,28,14,1,64578
UAE_003,2024-05,80,32,16,1,46419
UAE_003,2024-06,75,30,15,2,25156
UAE_003,2024-07,51,20,10,1,52064
UAE_003,2024-08,18,7,3,1,17041
UAE_003,2024-09,59,23,11,1,34952
UAE_003,2024-10,48,19,9,1,28057
UAE_003,2024-11,27,10,5,1,26436
UAE_003,2024-12,47,18,9,1,24305
UAE_003,2025-01,15,6,3,1,6610
UAE_003,2025-02,30,12,6,1,17148
UAE_003,2025-03,35,14,7,1,30220
UAE_003,2025-04,42,16,8,1,41586
UAE_003,2025-05,27,10,5,1,23594
UAE_003,2025-06,58,23,11,1,47396
UAE_003,2025-07,44,17,8,1,41790
UAE_003,2025-08,56,22,11,1,17225
UAE_003,2025-09,28,11,5,1,13771
UAE_003,2025-10,29,11,5,1,28851
UAE_003,2025-11,56,22,11,1,16683
UAE_003,2025-12,48,19,9,1,18531
UAE_004,2023-01,41,16,8,1,73206
UAE_004,2023-02,23,9,4,1,27556
UAE_004,2023-03,135,54,27,3,180580
UAE_004,2023-04,34,13,6,1,32788
UAE_004,2023-05,61,24,12,1,44220
UAE_004,2023-06,103,41,20,2,144431
UAE_004,2023-07,84,33,16,2,60514
UAE_004,2023-08,131,52,26,4,160240
UAE_004,2023-09,104,41,20,1,106011
UAE_004,2023-10,71,28,14,2,130595
UAE_004,2023-11,128,51,25,4,100093
UAE_004,2023-12,87,34,17,2,182996
UAE_004,2024-01,86,34,17,1,86826
UAE_004,2024-02,44,17,8,1,47096
UAE_004,2024-03,44,17,8,1,38170
UAE_004,2024-04,75,30,15,2,77322
UAE_004,2024-05,56,22,11,2,89579
UAE_004,2024-06,67,26,13,1,78135
UAE_004,2024-07,47,18,9,1,56922
UAE_004,2024-08,104,41,20,3,177044
UAE_004,2024-09,66,26,13,1,112522
UAE_004,2024-10,124,49,24,4,173152
UAE_004,2024-11,26,10,5,1,39823
UAE_004,2024-12,91,36,18,2,53843
UAE_004,2025-01,28,11,5,1,56071
UAE_004,2025-02,40,16,8,1,42564
UAE_004,2025-03,58,23,11,1,48847
UAE_004,2025-04,76,30,15,1,104226
UAE_004,2025-05,107,42,21,1,179917
UAE_004,2025-06,102,40,20,1,93908
UAE_004,2025-07,71,28,14,1,72332
UAE_004,2025-08,43,17,8,1,24140
UAE_004,2025-09,144,57,28,4,77279
UAE_004,2025-10,75,30,15,2,89103
UAE_004,2025-11,45,18,9,1,28288
UAE_004,2025-12,46,18,9,1,33132
UAE_005,2023-01,202,80,40,4,467491
UAE_005,2023-02,69,27,13,2,118081
UAE_005,2023-03,52,20,10,1,55106
UAE_005,2023-04,46,18,9,1,104217
UAE_005,2023-05,110,44,22,3,233742
UAE_005,2023-06,236,94,47,8,634253
UAE_005,2023-07,198,79,39,4,448474
UAE_005,2023-08,97,38,19,2,234608
UAE_005,2023-09,109,43,21,3,106543
UAE_005,2023-10,195,78,39,6,436011
UAE_005,2023-11,113,45,22,4,236878
UAE_005,2023-12,171,68,34,3,552266
UAE_005,2024-01,136,54,27,3,193587
UAE_005,2024-02,153,61,30,3,302313
UAE_005,2024-03,29,11,5,1,36619
UAE_005,2024-04,174,69,34,2,532313
UAE_005,2024-05,161,64,32,6,478230
UAE_005,2024-06,85,34,17,2,225857
UAE_005,2024-07,168,67,33,2,493692
UAE_005,2024-08,120,48,24,4,273709
UAE_005,2024-09,288,115,57,5,343117
UAE_005,2024-10,99,39,19,1,363617
UAE_005,2024-11,197,78,39,3,653759
UAE_005,2024-12,53,21,10,1,91949
UAE_005,2025-01,95,38,19,3,364138
UAE_005,2025-02,168,67,33,5,328331
UAE_005,2025-03,141,56,28,2,461762
UAE_005,2025-04,123,49,24,3,293732
UAE_005,2025-05,147,58,29,2,325981
UAE_005,2025-06,48,19,9,1,180995
UAE_005,2025-07,317,126,63,8,596730
UAE_005,2025-08,81,32,16,1,149425
UAE_005,2025-09,59,23,11,1,200358
UAE_005,2025-10,104,41,20,3,102684
UAE_005,2025-11,222,88,44,5,719121
UAE_005,2025-12,235,94,47,7,279464
UAE_006,2023-01,96,38,19,3,157975
UAE_006,2023-02,61,24,12,1,112004
UAE_006,2023-03,150,60,30,4,359079
UAE_006,2023-04,97,38,19,3,139263
UAE_006,2023-05,124,49,24,4,453269
UAE_006,2023-06,74,29,14,1,212580
UAE_006,2023-07,79,31,15,1,228620
UAE_006,2023-08,122,48,24,4,393651
UAE_006,2023-09,65,26,13,1,116610
UAE_006,2023-10,55,22,11,2,109751
UAE_006,2023-11,38,15,7,1,71386
UAE_006,2023-12,156,62,31,5,552033
UAE_006,2024-01,160,64,32,2,202167
UAE_006,2024-02,80,32,16,2,273201
UAE_006,2024-03,41,16,8,1,58062
UAE_006,2024-04,150,60,30,2,292640
UAE_006,2024-05,74,29,14,1,156506
UAE_006,2024-06,202,80,40,7,224112
UAE_006,2024-07,234,93,46,5,411113
UAE_006,2024-08,220,88,44,5,271333
UAE_006,2024-09,148,59,29,5,420330
UAE_006,2024-10,116,46,23,3,113559
UAE_006,2024-11,157,62,31,4,525794
UAE_006,2024-12,173,69,34,4,642889
UAE_006,2025-01,90,36,18,2,295874
UAE_006,2025-02,154,61,30,5,240668
UAE_006,2025-03,181,72,36,4,393698
UAE_006,2025-04,72,28,14,2,226859
UAE_006,2025-05,107,42,21,3,142218
UAE_006,2025-06,168,67,33,6,361813
UAE_006,2025-07,121,48,24,2,458919
UAE_006,2025-08,161,64,32,3,487620
UAE_006,2025-09,147,58,29,2,546225
UAE_006,2025-10,292,116,58,10,483650
UAE_006,2025-11,151,60,30,3,478215
UAE_006,2025-12,85,34,17,2,102138
UAE_007,2023-01,38,15,7,1,21635
UAE_007,2023-02,45,18,9,1,21782
UAE_007,2023-03,54,21,10,1,59717
UAE_007,2023-04,14,5,2,1,6588
UAE_007,2023-05,22,8,4,1,22799
UAE_007,2023-06,40,16,8,1,23189
UAE_007,2023-07,92,36,18,3,75317
UAE_007,2023-08,53,21,10,1,22325
UAE_007,2023-09,25,10,5,1,22743
UAE_007,2023-10,15,6,3,1,15928
UAE_007,2023-11,19,7,3,1,10568
UAE_007,2023-12,40,16,8,1,18465
UAE_007,2024-01,61,24,12,2,65472
UAE_007,2024-02,31,12,6,1,33207
UAE_007,2024-03,85,34,17,1,33493
UAE_007,2024-04,55,22,11,1,32183
UAE_007,2024-05,19,7,3,1,14446
UAE_007,2024-06,45,18,9,1,47205
UAE_007,2024-07,71,28,14,1,65348
UAE_007,2024-08,59,23,11,1,25411
UAE_007,2024-09,39,15,7,1,27795
UAE_007,2024-10,55,22,11,1,21733
UAE_007,2024-11,30,12,6,1,26325
UAE_007,2024-12,63,25,12,2,34810
UAE_007,2025-01,45,18,9,1,14205
UAE_007,2025-02,21,8,4,1,21334
UAE_007,2025-03,15,6,3,1,6935
UAE_007,2025-04,14,5,2,1,14164
UAE_007,2025-05,66,26,13,2,47311
UAE_007,2025-06,89,35,17,3,94213
UAE_007,2025-07,12,4,2,1,4955
UAE_007,2025-08,74,29,14,1,70963
UAE_007,2025-09,11,4,2,1,4790
UAE_007,2025-10,37,14,7,1,13953
UAE_007,2025-11,17,6,3,1,7431
UAE_007,2025-12,49,19,9,1,44274
UAE_008,2023-01,226,90,45,4,1727024
UAE_008,2023-02,576,230,115,17,4988246
UAE_008,2023-03,664,265,132,21,7546301
UAE_008,2023-04,778,311,155,28,5579215
UAE_008,2023-05,759,303,151,19,6765665
UAE_008,2023-06,237,94,47,8,2537316
UAE_008,2023-07,161,64,32,3,1495188
UAE_008,2023-08,512,204,102,13,5904314
UAE_008,2023-09,284,113,56,6,839463
UAE_008,2023-10,379,151,75,7,2498433
UAE_008,2023-11,271,108,54,4,1665995
UAE_008,2023-12,336,134,67,12,2235702
UAE_008,2024-01,168,67,33,5,1731440
UAE_008,2024-02,283,113,56,6,2279520
UAE_008,2024-03,331,132,66,11,2796950
UAE_008,2024-04,178,71,35,5,1627028
UAE_008,2024-05,785,314,157,15,5548091
UAE_008,2024-06,600,240,120,23,4567569
UAE_008,2024-07,561,224,112,12,5602739
UAE_008,2024-08,570,228,114,15,3137726
UAE_008,2024-09,248,99,49,4,1681870
UAE_008,2024-10,344,137,68,5,2632407
UAE_008,2024-11,263,105,52,8,1257795
UAE_008,2024-12,523,209,104,17,4443066
UAE_008,2025-01,382,152,76,7,1179399
UAE_008,2025-02,463,185,92,8,3428762
UAE_008,2025-03,623,249,124,21,5721390
UAE_008,2025-04,290,116,58,8,1452273
UAE_008,2025-05,183,73,36,3,633483
UAE_008,2025-06,532,212,106,20,3202011
UAE_008,2025-07,462,184,92,9,2570474
UAE_008,2025-08,603,241,120,24,6432615
UAE_008,2025-09,288,115,57,6,2301857
UAE_008,2025-10,510,204,102,8,3894007
UAE_008,2025-11,343,137,68,13,3322802
UAE_008,2025-12,223,89,44,7,1404445
UAE_009,2023-01,25,10,5,1,29481
UAE_009,2023-02,53,21,10,1,16131
UAE_009,2023-03,33,13,6,1,27583
UAE_009,2023-04,26,10,5,1,16496
UAE_009,2023-05,107,42,21,3,89629
UAE_009,2023-06,27,10,5,1,23952
UAE_009,2023-07,17,6,3,1,6793
UAE_009,2023-08,75,30,15,1,31886
UAE_009,2023-09,65,26,13,2,26913
UAE_009,2023-10,50,20,10,1,19509
UAE_009,2023-11,69,27,13,2,51984
UAE_009,2023-12,16,6,3,1,8051
UAE_009,2024-01,40,16,8,1,24068
UAE_009,2024-02,19,7,3,1,10807
UAE_009,2024-03,33,13,6,1,35190
UAE_009,2024-04,76,30,15,2,83233
UAE_009,2024-05,25,10,5,1,9075
UAE_009,2024-06,23,9,4,1,8247
UAE_009,2024-07,67,26,13,1,32268
UAE_009,2024-08,13,5,2,1,10905
UAE_009,2024-09,35,14,7,1,17078
UAE_009,2024-10,44,17,8,1,45970
UAE_009,2024-11,80,32,16,2,54458
UAE_009,2024-12,29,11,5,1,22769
UAE_009,2025-01,30,12,6,1,18855
UAE_009,2025-02,40,16,8,1,16984
UAE_009,2025-03,56,22,11,2,51235
UAE_009,2025-04,56,22,11,1,37095
UAE_009,2025-05,88,35,17,2,61924
UAE_009,2025-06,48,19,9,1,31601
UAE_009,2025-07,65,26,13,1,76493
UAE_009,2025-08,42,16,8,1,23873
UAE_009,2025-09,68,27,13,2,21705
UAE_009,2025-10,44,17,8,1,29065
UAE_009,2025-11,49,19,9,1,29112
UAE_009,2025-12,27,10,5,1,28796
UAE_010,2023-01,54,21,10,1,23386
UAE_010,2023-02,11,4,2,1,6019
UAE_010,2023-03,47,18,9,1,28677
UAE_010,2023-04,48,19,9,1,30886
UAE_010,2023-05,28,11,5,1,8674
UAE_010,2023-06,74,29,14,1,48425
UAE_010,2023-07,42,16,8,1,14801
UAE_010,2023-08,49,19,9,1,54465
UAE_010,2023-09,57,22,11,1,50681
UAE_010,2023-10,35,14,7,1,32391
UAE_010,2023-11,24,9,4,1,13438
UAE_010,2023-12,18,7,3,1,17955
UAE_010,2024-01,28,11,5,1,31877
UAE_010,2024-02,15,6,3,1,8466
UAE_010,2024-03,12,4,2,1,9159
UAE_010,2024-04,11,4,2,1,11184
UAE_010,2024-05,71,28,14,1,83491
UAE_010,2024-06,12,4,2,1,8245
UAE_010,2024-07,67,26,13,1,63639
UAE_010,2024-08,42,16,8,1,23018
UAE_010,2024-09,67,26,13,1,41338
UAE_010,2024-10,52,20,10,1,32529
UAE_010,2024-11,35,14,7,1,29762
UAE_010,2024-12,38,15,7,1,28899
UAE_010,2025-01,30,12,6,1,13825
UAE_010,2025-02,39,15,7,1,23907
UAE_010,2025-03,46,18,9,1,51548
UAE_010,2025-04,30,12,6,1,17421
UAE_010,2025-05,15,6,3,1,11405
UAE_010,2025-06,14,5,2,1,10112
UAE_010,2025-07,40,16,8,1,39100
UAE_010,2025-08,30,12,6,1,35296
UAE_010,2025-09,69,27,13,2,31949
UAE_010,2025-10,19,7,3,1,19936
UAE_010,2025-11,52,20,10,1,47213
UAE_010,2025-12,16,6,3,1,10852
UAE_011,2023-01,42,16,8,1,42226
UAE_011,2023-02,25,10,5,1,23295
UAE_011,2023-03,40,16,8,1,27565
UAE_011,2023-04,24,9,4,1,26417
UAE_011,2023-05,45,18,9,1,33478
UAE_011,2023-06,82,32,16,1,25464
UAE_011,2023-07,36,14,7,1,20221
UAE_011,2023-08,77,30,15,2,36376
UAE_011,2023-09,57,22,11,2,60471
UAE_011,2023-10,57,22,11,1,25919
UAE_011,2023-11,65,26,13,1,51926
UAE_011,2023-12,57,22,11,1,22992
UAE_011,2024-01,12,4,2,1,7632
UAE_011,2024-02,29,11,5,1,17133
UAE_011,2024-03,16,6,3,1,14573
UAE_011,2024-04,29,11,5,1,25285
UAE_011,2024-05,56,22,11,1,30602
UAE_011,2024-06,56,22,11,1,44775
UAE_011,2024-07,81,32,16,3,34285
UAE_011,2024-08,35,14,7,1,18340
UAE_011,2024-09,34,13,6,1,38868
UAE_011,2024-10,63,25,12,1,43052
UAE_011,2024-11,50,20,10,1,58334
UAE_011,2024-12,35,14,7,1,18497
UAE_011,2025-01,53,21,10,1,55433
UAE_011,2025-02,16,6,3,1,14569
UAE_011,2025-03,49,19,9,1,52669
UAE_011,2025-04,38,15,7,1,17840
UAE_011,2025-05,34,13,6,1,28820
UAE_011,2025-06,67,26,13,2,25330
UAE_011,2025-07,91,36,18,3,88191
UAE_011,2025-08,96,38,19,2,87889
UAE_011,2025-09,39,15,7,1,15751
UAE_011,2025-10,22,8,4,1,13370
UAE_011,2025-11,14,5,2,1,4619
UAE_011,2025-12,36,14,7,1,21693
UAE_012,2023-01,26,10,5,1,36885
UAE_012,2023-02,38,15,7,1,50227
UAE_012,2023-03,76,30,15,1,102930
UAE_012,2023-04,33,13,6,1,28808
UAE_012,2023-05,32,12,6,1,42556
UAE_012,2023-06,117,46,23,3,128174
UAE_012,2023-07,30,12,6,1,40051
UAE_012,2023-08,32,12,6,1,28643
UAE_012,2023-09,31,12,6,1,20722
UAE_012,2023-10,106,42,21,3,103012
UAE_012,2023-11,100,40,20,2,100665
UAE_012,2023-12,29,11,5,1,28825
UAE_012,2024-01,28,11,5,1,45867
UAE_012,2024-02,57,22,11,1,56760
UAE_012,2024-03,24,9,4,1,31234
UAE_012,2024-04,34,13,6,1,21800
UAE_012,2024-05,90,36,18,1,81228
UAE_012,2024-06,66,26,13,1,97120
UAE_012,2024-07,109,43,21,3,149702
UAE_012,2024-08,92,36,18,1,138702
UAE_012,2024-09,86,34,17,1,142380
UAE_012,2024-10,48,19,9,1,33737
UAE_012,2024-11,89,35,17,3,64349
UAE_012,2024-12,76,30,15,2,38034
UAE_012,2025-01,53,21,10,1,82180
UAE_012,2025-02,78,31,15,1,56163
UAE_012,2025-03,73,29,14,2,71806
UAE_012,2025-04,36,14,7,1,46041
UAE_012,2025-05,27,10,5,1,10780
UAE_012,2025-06,87,34,17,1,136926
UAE_012,2025-07,116,46,23,3,183908
UAE_012,2025-08,86,34,17,2,104281
UAE_012,2025-09,109,43,21,2,176250
UAE_012,2025-10,69,27,13,1,75278
UAE_012,2025-11,72,28,14,1,55224
UAE_012,2025-12,81,32,16,3,40231
UAE_013,2023-01,15,6,3,1,14518
UAE_013,2023-02,54,21,10,2,16336
UAE_013,2023-03,24,9,4,1,14721
UAE_013,2023-04,22,8,4,1,20082
UAE_013,2023-05,72,28,14,1,47932
UAE_013,2023-06,76,30,15,1,37071
UAE_013,2023-07,25,10,5,1,18588
UAE_013,2023-08,22,8,4,1,14798
UAE_013,2023-09,36,14,7,1,22442
UAE_013,2023-10,16,6,3,1,7273
UAE_013,2023-11,45,18,9,1,33538
UAE_013,2023-12,47,18,9,1,16567
UAE_013,2024-01,58,23,11,1,68996
UAE_013,2024-02,59,23,11,1,29516
UAE_013,2024-03,34,13,6,1,9848
UAE_013,2024-04,47,18,9,1,35762
UAE_013,2024-05,55,22,11,1,25397
UAE_013,2024-06,24,9,4,1,15942
UAE_013,2024-07,51,20,10,1,24470
UAE_013,2024-08,45,18,9,1,45599
UAE_013,2024-09,66,26,13,2,29846
UAE_013,2024-10,43,17,8,1,24763
UAE_013,2024-11,17,6,3,1,6446
UAE_013,2024-12,23,9,4,1,9480
UAE_013,2025-01,24,9,4,1,15375
UAE_013,2025-02,51,20,10,1,38480
UAE_013,2025-03,28,11,5,1,32686
UAE_013,2025-04,40,16,8,1,38507
UAE_013,2025-05,54,21,10,1,28401
UAE_013,2025-06,55,22,11,1,24037
UAE_013,2025-07,61,24,12,1,65991
UAE_013,2025-08,15,6,3,1,9812
UAE_013,2025-09,44,17,8,1,23476
UAE_013,2025-10,39,15,7,1,12582
UAE_013,2025-11,28,11,5,1,24696
UAE_013,2025-12,45,18,9,1,28951
UAE_014,2023-01,136,54,27,3,147187
UAE_014,2023-02,60,24,12,2,65902
UAE_014,2023-03,28,11,5,1,57011
UAE_014,2023-04,68,27,13,2,88412
UAE_014,2023-05,143,57,28,3,197314
UAE_014,2023-06,81,32,16,2,108280
UAE_014,2023-07,45,18,9,1,52166
UAE_014,2023-08,59,23,11,1,89288
UAE_014,2023-09,95,38,19,2,88571
UAE_014,2023-10,91,36,18,1,155423
UAE_014,2023-11,51,20,10,1,106984
UAE_014,2023-12,78,31,15,2,133913
UAE_014,2024-01,51,20,10,1,68908
UAE_014,2024-02,87,34,17,1,79467
UAE_014,2024-03,114,45,22,3,229657
UAE_014,2024-04,62,24,12,2,114288
UAE_014,2024-05,105,42,21,4,126903
UAE_014,2024-06,113,45,22,2,73629
UAE_014,2024-07,75,30,15,2,78153
UAE_014,2024-08,117,46,23,3,101916
UAE_014,2024-09,108,43,21,1,208270
UAE_014,2024-10,45,18,9,1,36472
UAE_014,2024-11,39,15,7,1,52097
UAE_014,2024-12,63,25,12,1,53669
UAE_014,2025-01,56,22,11,1,93421
UAE_014,2025-02,106,42,21,2,198346
UAE_014,2025-03,27,10,5,1,35951
UAE_014,2025-04,114,45,22,3,151859
UAE_014,2025-05,104,41,20,3,110269
UAE_014,2025-06,131,52,26,3,223713
UAE_014,2025-07,61,24,12,1,32483
UAE_014,2025-08,54,21,10,1,48628
UAE_014,2025-09,63,25,12,1,84963
UAE_014,2025-10,57,22,11,2,104806
UAE_014,2025-11,57,22,11,1,68233
UAE_014,2025-12,60,24,12,1,58608
UAE_015,2023-01,25,10,5,1,23859
UAE_015,2023-02,46,18,9,1,33557
UAE_015,2023-03,34,13,6,1,36714
UAE_015,2023-04,24,9,4,1,17129
UAE_015,2023-05,58,23,11,1,24775
UAE_015,2023-06,61,24,12,1,55488
UAE_015,2023-07,45,18,9,1,29976
UAE_015,2023-08,84,33,16,2,70567
UAE_015,2023-09,40,16,8,1,40613
UAE_015,2023-10,55,22,11,1,63558
UAE_015,2023-11,38,15,7,1,12801
UAE_015,2023-12,51,20,10,1,44172
UAE_015,2024-01,58,23,11,2,25124
UAE_015,2024-02,45,18,9,1,32947
UAE_015,2024-03,56,22,11,1,54285
UAE_015,2024-04,51,20,10,1,43419
UAE_015,2024-05,15,6,3,1,17647
UAE_015,2024-06,74,29,14,1,77916
UAE_015,2024-07,80,32,16,2,53352
UAE_015,2024-08,36,14,7,1,29021
UAE_015,2024-09,60,24,12,1,60227
UAE_015,2024-10,20,8,4,1,15566
UAE_015,2024-11,12,4,2,1,10196
UAE_015,2024-12,50,20,10,1,32928
UAE_015,2025-01,47,18,9,1,41893
UAE_015,2025-02,10,4,2,1,11110
UAE_015,2025-03,51,20,10,2,28653
UAE_015,2025-04,27,10,5,1,22949
UAE_015,2025-05,26,10,5,1,14675
UAE_015,2025-06,62,24,12,1,33448
UAE_015,2025-07,47,18,9,1,15683
UAE_015,2025-08,46,18,9,1,31416
UAE_015,2025-09,69,27,13,1,29700
UAE_015,2025-10,32,12,6,1,34855
UAE_015,2025-11,38,15,7,1,21615
UAE_015,2025-12,30,12,6,1,34016
UAE_016,2023-01,83,33,16,2,41163
UAE_016,2023-02,55,22,11,1,27399
UAE_016,2023-03,26,10,5,1,20713
UAE_016,2023-04,97,38,19,1,116389
UAE_016,2023-05,89,35,17,1,127828
UAE_016,2023-06,69,27,13,2,82846
UAE_016,2023-07,59,23,11,1,49583
UAE_016,2023-08,122,48,24,3,103916
UAE_016,2023-09,18,7,3,1,23668
UAE_016,2023-10,61,24,12,1,71153
UAE_016,2023-11,63,25,12,1,40847
UAE_016,2023-12,27,10,5,1,24356
UAE_016,2024-01,23,9,4,1,30764
UAE_016,2024-02,83,33,16,2,147341
UAE_016,2024-03,108,43,21,4,143678
UAE_016,2024-04,125,50,25,4,150853
UAE_016,2024-05,72,28,14,1,72395
UAE_016,2024-06,52,20,10,1,49429
UAE_016,2024-07,95,38,19,1,104530
UAE_016,2024-08,91,36,18,2,142039
UAE_016,2024-09,31,12,6,1,35203
UAE_016,2024-10,125,50,25,4,70783
UAE_016,2024-11,122,48,24,4,92970
UAE_016,2024-12,113,45,22,4,163132
UAE_016,2025-01,47,18,9,1,67289
UAE_016,2025-02,32,12,6,1,29948
UAE_016,2025-03,69,27,13,1,64778
UAE_016,2025-04,86,34,17,3,126367
UAE_016,2025-05,119,47,23,2,60159
UAE_016,2025-06,89,35,17,2,134385
UAE_016,2025-07,57,22,11,1,58323
UAE_016,2025-08,85,34,17,2,139521
UAE_016,2025-09,63,25,12,1,45943
UAE_016,2025-10,48,19,9,1,35867
UAE_016,2025-11,71,28,14,2,104931
UAE_016,2025-12,64,25,12,1,108858
UAE_017,2023-01,428,171,85,15,3360539
UAE_017,2023-02,580,232,116,14,12024425
UAE_017,2023-03,310,124,62,12,3265807
UAE_017,2023-04,199,79,39,4,1199554
UAE_017,2023-05,331,132,66,7,5520860
UAE_017,2023-06,322,128,64,9,4063095
UAE_017,2023-07,515,206,103,15,10238432
UAE_017,2023-08,503,201,100,16,5549447
UAE_017,2023-09,961,384,192,22,19996730
UAE_017,2023-10,782,312,156,15,10216649
UAE_017,2023-11,584,233,116,13,8481419
UAE_017,2023-12,617,246,123,18,8631438
UAE_017,2024-01,831,332,166,26,13275933
UAE_017,2024-02,951,380,190,25,8283399
UAE_017,2024-03,725,290,145,14,9404763
UAE_017,2024-04,1073,429,214,18,17666138
UAE_017,2024-05,1602,640,320,60,21702713
UAE_017,2024-06,871,348,174,18,9587302
UAE_017,2024-07,896,358,179,29,14128795
UAE_017,2024-08,1505,602,301,49,27321234
UAE_017,2024-09,432,172,86,14,5177710
UAE_017,2024-10,313,125,62,12,1859645
UAE_017,2024-11,1217,486,243,45,13961900
UAE_017,2024-12,977,390,195,20,18463539
UAE_017,2025-01,318,127,63,8,5997322
UAE_017,2025-02,317,126,63,5,5820261
UAE_017,2025-03,603,241,120,13,10616975
UAE_017,2025-04,826,330,165,20,17389297
UAE_017,2025-05,502,200,100,10,10466830
UAE_017,2025-06,572,228,114,13,9637254
UAE_017,2025-07,722,288,144,28,15088849
UAE_017,2025-08,490,196,98,7,2871349
UAE_017,2025-09,851,340,170,24,5422629
UAE_017,2025-10,1115,446,223,23,19688585
UAE_017,2025-11,194,77,38,5,1728367
UAE_017,2025-12,548,219,109,19,11347272
UAE_018,2023-01,37,14,7,1,33011
UAE_018,2023-02,22,8,4,1,12740
UAE_018,2023-03,41,16,8,1,23572
UAE_018,2023-04,71,28,14,1,33169
UAE_018,2023-05,23,9,4,1,19521
UAE_018,2023-06,40,16,8,1,33612
UAE_018,2023-07,57,22,11,1,29874
UAE_018,2023-08,81,32,16,3,51150
UAE_018,2023-09,58,23,11,1,65579
UAE_018,2023-10,21,8,4,1,11446
UAE_018,2023-11,53,21,10,1,59157
UAE_018,2023-12,51,20,10,1,54208
UAE_018,2024-01,11,4,2,1,3150
UAE_018,2024-02,44,17,8,1,37266
UAE_018,2024-03,48,19,9,1,33699
UAE_018,2024-04,34,13,6,1,21025
UAE_018,2024-05,20,8,4,1,22160
