business_id,month,target_revenue,actual_revenue,target_profit,actual_profit,variance
UAE_002,2023-04,3200,2999,-2335,-2700,-6.28
UAE_002,2023-05,1479,1388,-3839,-3609,-6.15
UAE_002,2023-06,2222,2379,-3522,-3611,7.07
UAE_002,2023-07,3381,3561,-7594,-7169,5.32
UAE_002,2023-08,1921,1827,-2200,-2060,-4.89
UAE_002,2023-09,2453,2319,-6688,-7495,-5.46
UAE_002,2023-10,3091,3057,-3097,-2858,-1.1
UAE_002,2023-11,1592,1685,-6996,-6615,5.84
UAE_002,2023-12,1671,1706,-5285,-4841,2.09
UAE_002,2024-01,2513,2543,-2033,-2357,1.19
UAE_002,2024-02,895,877,-1759,-1820,-2.01
UAE_002,2024-03,1093,1031,-1603,-1640,-5.67
UAE_002,2024-04,3125,3190,-2624,-2549,2.08
UAE_002,2024-05,3566,3507,-4865,-4265,-1.65
UAE_002,2024-06,1224,1313,-5570,-5292,7.27
UAE_002,2024-07,2781,2794,-5422,-5219,0.47
UAE_002,2024-08,3396,3438,-5829,-5588,1.24
UAE_002,2024-09,2952,3151,-6588,-7591,6.74
UAE_002,2024-10,1249,1174,-3102,-2768,-6.0
UAE_002,2024-11,2688,2646,-2207,-2577,-1.56
UAE_002,2024-12,1373,1254,-3632,-4017,-8.67
UAE_002,2025-01,3011,2913,-4738,-4762,-3.25
UAE_002,2025-02,2657,2838,-3940,-4167,6.81
UAE_002,2025-03,2507,2679,-1431,-1538,6.86
UAE_002,2025-04,3065,2846,-5335,-4873,-7.15
UAE_002,2025-05,5393,5007,-5804,-6482,-7.16
UAE_002,2025-06,2408,2536,-4430,-4688,5.32
UAE_002,2025-07,6857,7483,-8149,-7806,9.13
UAE_002,2025-08,1241,1312,-2457,-2322,5.72
UAE_002,2025-09,3023,2860,-7161,-7881,-5.39
UAE_002,2025-10,1124,1140,-3063,-3459,1.42
UAE_002,2025-11,3464,3438,-5512,-4803,-0.75
UAE_002,2025-12,2519,2603,-823,-775,3.33
UAE_003,2023-01,1348,1436,-1429,-1452,6.53
UAE_003,2023-02,2436,2516,-4726,-4552,3.28
UAE_003,2023-03,5541,5268,-4926,-4631,-4.93
UAE_003,2023-04,2675,2484,-5727,-5636,-7.14
UAE_003,2023-05,3121,3165,-6690,-7090,1.41
UAE_003,2023-06,2037,2212,-8508,-8429,8.59
UAE_003,2023-07,7498,7282,-5941,-6825,-2.88
UAE_003,2023-08,3297,3513,-4560,-5195,6.55
UAE_003,2023-09,1270,1385,-5137,-5238,9.06
UAE_003,2023-10,2002,1907,-4978,-5044,-4.75
UAE_003,2023-11,1429,1511,-5957,-6134,5.74
UAE_003,2023-12,1895,1753,-4098,-3820,-7.49
UAE_003,2024-01,1275,1282,-939,-1024,0.55
UAE_003,2024-02,941,952,-3594,-3607,1.17
UAE_003,2024-03,2777,2695,-4371,-4689,-2.95
UAE_003,2024-04,2514,2583,-6195,-5417,2.74
UAE_003,2024-05,1904,1783,-6725,-6434,-6.36
UAE_003,2024-06,2041,2202,-6815,-6882,7.89
UAE_003,2024-07,3739,3514,-7934,-8199,-6.02
UAE_003,2024-08,3536,3241,-1376,-1495,-8.34
UAE_003,2024-09,1815,1921,-7169,-7160,5.84
UAE_003,2024-10,1611,1724,-3699,-3978,7.01
UAE_003,2024-11,2806,2829,-1264,-1382,0.82
UAE_003,2024-12,1445,1349,-5187,-4701,-6.64
UAE_003,2025-01,1027,1076,-1441,-1453,4.77
UAE_003,2025-02,1429,1447,-3767,-4373,1.26
UAE_003,2025-03,2158,2372,-3299,-3558,9.92
UAE_003,2025-04,2925,3160,-7603,-7276,8.03
UAE_003,2025-05,2911,3147,-2345,-2241,8.11
UAE_003,2025-06,3067,2934,-10106,-9098,-4.34
UAE_003,2025-07,3605,3596,-3626,-3805,-0.25
UAE_003,2025-08,1066,1129,-7545,-8270,5.91
UAE_003,2025-09,1606,1713,-4016,-3991,6.66
UAE_003,2025-10,3442,3315,-3217,-3058,-3.69
UAE_003,2025-11,844,877,-6343,-5834,3.91
UAE_003,2025-12,1027,1053,-5226,-5963,2.53
UAE_004,2023-01,3684,3751,-3160,-3065,1.82
UAE_004,2023-02,2725,2605,-1986,-2159,-4.4
UAE_004,2023-03,11738,12367,-8415,-7484,5.36
UAE_004,2023-04,2326,2582,-4250,-4365,11.01
UAE_004,2023-05,2123,2072,-7407,-8321,-2.4
UAE_004,2023-06,8810,8469,-6729,-7877,-3.87
UAE_004,2023-07,4268,4535,-10800,-10089,6.26
UAE_004,2023-08,19779,18806,-9366,-10623,-4.92
UAE_004,2023-09,2882,2998,-8361,-9716,4.02
UAE_004,2023-10,10640,9999,-5411,-5529,-6.02
UAE_004,2023-11,10138,9644,-9737,-9623,-4.87
UAE_004,2023-12,10722,9886,-7344,-8592,-7.8
UAE_004,2024-01,2385,2295,-7774,-7455,-3.77
UAE_004,2024-02,2402,2581,-3534,-3682,7.45
UAE_004,2024-03,2233,2272,-3810,-4230,1.75
UAE_004,2024-04,6267,5773,-5950,-6842,-7.88
UAE_004,2024-05,9046,10012,-3499,-3298,10.68
UAE_004,2024-06,3581,3946,-7141,-6705,10.19
UAE_004,2024-07,4106,4268,-4375,-4794,3.95
UAE_004,2024-08,21923,22999,-6117,-5562,4.91
UAE_004,2024-09,5896,5472,-6607,-7414,-7.19
UAE_004,2024-10,15068,16509,-11271,-11099,9.56
UAE_004,2024-11,4295,4261,-2642,-2458,-0.79
UAE_004,2024-12,3024,2989,-10323,-11055,-1.16
UAE_004,2025-01,4544,4982,-3666,-3445,9.64
UAE_004,2025-02,2508,2694,-4824,-5042,7.42
UAE_004,2025-03,2241,2334,-6439,-6672,4.15
UAE_004,2025-04,4449,4224,-8669,-7593,-5.06
UAE_004,2025-05,5636,5715,-10110,-11118,1.4
UAE_004,2025-06,3582,3343,-9968,-9584,-6.67
UAE_004,2025-07,3572,3779,-4764,-4902,5.8
UAE_004,2025-08,2037,2048,-5659,-6649,0.54
UAE_004,2025-09,9414,9280,-11209,-9749,-1.42
UAE_004,2025-10,8051,7508,-4458,-4374,-6.74
UAE_004,2025-11,1854,1819,-6596,-6036,-1.89
UAE_004,2025-12,1866,1988,-4146,-4253,6.54
UAE_005,2023-01,24936,23958,-11510,-13401,-3.92
UAE_005,2023-02,8042,7442,-4017,-4613,-7.46
UAE_005,2023-03,2678,2547,-5560,-5905,-4.89
UAE_005,2023-04,5407,5928,-4792,-4920,9.64
UAE_005,2023-05,19077,17927,-8395,-9117,-6.03
UAE_005,2023-06,97864,89222,-1535,-1591,-8.83
UAE_005,2023-07,34821,35101,-18255,-21363,0.8
UAE_005,2023-08,16561,15071,-4642,-4668,-9.0
UAE_005,2023-09,9090,8620,-9312,-9335,-5.17
UAE_005,2023-10,44140,47938,-15604,-13704,8.6
UAE_005,2023-11,23977,25867,-2386,-2527,7.88
UAE_005,2023-12,21334,22376,-7605,-7585,4.88
UAE_005,2024-01,10205,9665,-17645,-20596,-5.29
UAE_005,2024-02,14247,13855,-13604,-15874,-2.75
UAE_005,2024-03,3629,3368,-4016,-4659,-7.19
UAE_005,2024-04,16295,17280,-18144,-16369,6.04
UAE_005,2024-05,68807,64311,-2481,-2496,-6.53
UAE_005,2024-06,18535,17445,-7324,-8243,-5.88
UAE_005,2024-07,19770,19893,-9832,-10239,0.62
UAE_005,2024-08,27905,30372,-8678,-9260,8.84
UAE_005,2024-09,24344,22635,-22412,-20488,-7.02
UAE_005,2024-10,10535,10889,-7410,-7303,3.36
UAE_005,2024-11,28370,26908,-10593,-10861,-5.15
UAE_005,2024-12,4771,4376,-5104,-4924,-8.28
UAE_005,2025-01,27392,28099,-8434,-9174,2.58
UAE_005,2025-02,27671,29783,-11614,-11951,7.63
UAE_005,2025-03,16714,18128,-13763,-12907,8.46
UAE_005,2025-04,29861,29157,-10153,-9528,-2.36
UAE_005,2025-05,14165,14996,-19519,-17325,5.87
UAE_005,2025-06,12334,13565,-4607,-5394,9.98
UAE_005,2025-07,73802,76226,-3074,-2818,3.28
UAE_005,2025-08,7031,6736,-11215,-10137,-4.2
UAE_005,2025-09,12178,11926,-3132,-2962,-2.07
UAE_005,2025-10,9258,9497,-10728,-11856,2.58
UAE_005,2025-11,60712,56754,-6951,-6547,-6.52
UAE_005,2025-12,30953,28910,-13166,-11872,-6.6
UAE_006,2023-01,12983,13635,-8761,-7655,5.02
UAE_006,2023-02,3739,3970,-7275,-7374,6.18
UAE_006,2023-03,27169,27665,-11788,-12827,1.83
UAE_006,2023-04,11936,11258,-11175,-11530,-5.68
UAE_006,2023-05,54511,52027,14,13,-4.56
UAE_006,2023-06,7961,8811,-12702,-12769,10.68
UAE_006,2023-07,8965,9120,-8112,-8356,1.73
UAE_006,2023-08,40996,40041,597,572,-2.33
UAE_006,2023-09,4879,5201,-6698,-6890,6.6
UAE_006,2023-10,10748,10695,-3931,-4316,-0.49
UAE_006,2023-11,4654,4677,-4702,-4197,0.49
UAE_006,2023-12,48544,49063,-1113,-1135,1.07
UAE_006,2024-01,5726,5677,-17318,-16284,-0.86
UAE_006,2024-02,15330,15912,-6928,-7414,3.8
UAE_006,2024-03,3494,3672,-4352,-4364,5.09
UAE_006,2024-04,11495,10925,-28015,-24649,-4.96
UAE_006,2024-05,6721,6635,-7467,-6742,-1.28
UAE_006,2024-06,30729,29427,-12444,-11817,-4.24
UAE_006,2024-07,37474,35804,-18139,-21337,-4.46
UAE_006,2024-08,25013,24634,-17349,-19371,-1.52
UAE_006,2024-09,54501,54047,-11511,-10226,-0.83
UAE_006,2024-10,12087,11533,-8492,-8385,-4.58
UAE_006,2024-11,46615,45377,-10530,-9571,-2.66
UAE_006,2024-12,46007,46559,-6956,-7001,1.2
UAE_006,2025-01,15541,16066,-7866,-7670,3.38
UAE_006,2025-02,29190,27975,-12719,-11564,-4.16
UAE_006,2025-03,28744,30054,-9594,-10429,4.56
UAE_006,2025-04,18404,19704,-520,-562,7.06
UAE_006,2025-05,13489,13553,-7377,-6837,0.47
UAE_006,2025-06,65728,61521,-519,-507,-6.4
UAE_006,2025-07,25766,27978,-5390,-5466,8.58
UAE_006,2025-08,40443,43963,-5226,-5609,8.7
UAE_006,2025-09,23777,25786,-14397,-12987,8.45
UAE_006,2025-10,72951,68511,-4280,-5027,-6.09
UAE_006,2025-11,26976,27677,-12994,-12252,2.6
UAE_006,2025-12,5938,6491,-8926,-10131,9.31
UAE_007,2023-01,1299,1182,-5424,-5784,-9.01
UAE_007,2023-02,994,1029,-4615,-4288,3.52
UAE_007,2023-03,2625,2629,-6252,-6725,0.15
UAE_007,2023-04,1342,1349,-1803,-1658,0.52
UAE_007,2023-05,3202,3205,-917,-983,0.09
UAE_007,2023-06,1731,1742,-3893,-3831,0.64
UAE_007,2023-07,7368,7761,-5695,-5240,5.33
UAE_007,2023-08,1216,1297,-4892,-5258,6.66
UAE_007,2023-09,2413,2637,-3101,-2837,9.28
UAE_007,2023-10,2639,2845,-1346,-1455,7.81
UAE_007,2023-11,1561,1483,-2816,-2867,-5.0
UAE_007,2023-12,977,1059,-4242,-4184,8.39
UAE_007,2024-01,4745,4903,-4156,-4771,3.33
UAE_007,2024-02,2393,2578,-3825,-3477,7.73
UAE_007,2024-03,991,996,-5984,-6932,0.5
UAE_007,2024-04,1529,1638,-5715,-6050,7.13
UAE_007,2024-05,2519,2537,-1446,-1398,0.71
UAE_007,2024-06,3418,3443,-4122,-3605,0.73
UAE_007,2024-07,3422,3150,-7573,-8192,-7.95
UAE_007,2024-08,1604,1471,-6767,-6965,-8.29
UAE_007,2024-09,2118,2342,-4027,-4363,10.58
UAE_007,2024-10,1083,1153,-7966,-7044,6.46
UAE_007,2024-11,2231,2347,-3659,-3940,5.2
UAE_007,2024-12,2969,2783,-4966,-4356,-6.26
UAE_007,2025-01,790,771,-5215,-4794,-2.41
UAE_007,2025-02,2802,2701,-2282,-2098,-3.6
UAE_007,2025-03,1187,1270,-1756,-1799,6.99
UAE_007,2025-04,3740,3444,-1093,-1007,-7.91
UAE_007,2025-05,5226,4855,-5490,-5370,-7.1
UAE_007,2025-06,11638,11499,-5507,-5800,-1.19
UAE_007,2025-07,1731,1812,-1375,-1521,4.68
UAE_007,2025-08,3362,3529,-6879,-6065,4.97
UAE_007,2025-09,1500,1639,-1266,-1444,9.27
UAE_007,2025-10,1149,1259,-4551,-3983,9.57
UAE_007,2025-11,1340,1433,-2190,-2122,6.94
UAE_007,2025-12,2367,2517,-3945,-4238,6.34
UAE_008,2023-01,80382,78675,-6759,-6372,-2.12
UAE_008,2023-02,368099,369073,52722,46103,0.26
UAE_008,2023-03,791468,763521,238572,228724,-3.53
UAE_008,2023-04,715660,716435,180295,180842,0.11
UAE_008,2023-05,612356,627934,104421,100211,2.54
UAE_008,2023-06,324633,324484,37550,41728,-0.05
UAE_008,2023-07,91006,86672,2709,3080,-4.76
UAE_008,2023-08,563011,565246,124774,120308,0.4
UAE_008,2023-09,62062,60310,-3007,-3084,-2.82
UAE_008,2023-10,147711,159635,1704,1672,8.07
UAE_008,2023-11,73755,75802,-29591,-26389,2.78
UAE_008,2023-12,251413,229843,1942,1881,-8.58
UAE_008,2024-01,151284,162575,32061,36647,7.46
UAE_008,2024-02,130565,131593,6219,7265,0.79
UAE_008,2024-03,251368,278740,40468,43957,10.89
UAE_008,2024-04,165499,153994,11603,11844,-6.95
UAE_008,2024-05,377519,412765,64794,67252,9.34
UAE_008,2024-06,809023,749700,176044,161390,-7.33
UAE_008,2024-07,621205,573996,116664,103248,-7.6
UAE_008,2024-08,327134,329852,13521,11808,0.83
UAE_008,2024-09,117082,107401,-5077,-4933,-8.27
UAE_008,2024-10,136137,134656,-10959,-11707,-1.09
UAE_008,2024-11,121136,128194,-18171,-20001,5.83
UAE_008,2024-12,444613,446179,54458,52913,0.35
UAE_008,2025-01,67039,68257,-40433,-40124,1.82
UAE_008,2025-02,190255,206510,21642,18972,8.54
UAE_008,2025-03,670661,656725,191900,169096,-2.08
UAE_008,2025-04,156583,167462,-1099,-1040,6.95
UAE_008,2025-05,45986,46310,-11897,-10425,0.7
UAE_008,2025-06,584181,602240,58778,63328,3.09
UAE_008,2025-07,265212,245290,-10803,-12149,-7.51
UAE_008,2025-08,1197139,1116599,267617,265877,-6.73
UAE_008,2025-09,228535,219223,30801,32068,-4.07
UAE_008,2025-10,234918,241275,11766,13624,2.71
UAE_008,2025-11,413622,449192,115325,106115,8.6
UAE_008,2025-12,175978,170500,23629,24630,-3.11
UAE_009,2023-01,2525,2417,-1765,-1574,-4.28
UAE_009,2023-02,603,653,-7213,-6421,8.29
UAE_009,2023-03,1838,1961,-2530,-2523,6.69
UAE_009,2023-04,1704,1689,-2574,-2706,-0.88
UAE_009,2023-05,6805,7201,-6749,-6019,5.82
UAE_009,2023-06,2959,2879,-2224,-2057,-2.7
UAE_009,2023-07,1361,1400,-2032,-1790,2.87
UAE_009,2023-08,1184,1297,-6963,-7104,9.54
UAE_009,2023-09,2375,2400,-4912,-4406,1.05
UAE_009,2023-10,1039,1045,-3912,-4310,0.58
UAE_009,2023-11,3681,3784,-5016,-5458,2.8
UAE_009,2023-12,1327,1232,-2659,-2526,-7.16
UAE_009,2024-01,1446,1351,-4507,-4674,-6.57
UAE_009,2024-02,1508,1438,-1746,-1835,-4.64
UAE_009,2024-03,2609,2739,-2264,-2660,4.98
UAE_009,2024-04,6677,6214,-4736,-4349,-6.93
UAE_009,2024-05,1131,1115,-3863,-3912,-1.41
UAE_009,2024-06,1229,1203,-4433,-3906,-2.12
UAE_009,2024-07,1675,1675,-7379,-7923,0.0
UAE_009,2024-08,2831,2904,-2358,-2290,2.58
UAE_009,2024-09,1526,1542,-4502,-4237,1.05
UAE_009,2024-10,3260,3158,-5011,-4719,-3.13
UAE_009,2024-11,3811,3642,-5849,-5700,-4.43
UAE_009,2024-12,2194,2068,-2181,-2453,-5.74
UAE_009,2025-01,1658,1535,-4043,-3720,-7.42
UAE_009,2025-02,968,1075,-4629,-4670,11.05
UAE_009,2025-03,5097,5120,-6267,-6402,0.45
UAE_009,2025-04,1882,2050,-6654,-7488,8.93
UAE_009,2025-05,4492,4721,-6756,-6282,5.1
UAE_009,2025-06,2598,2368,-4905,-4834,-8.85
UAE_009,2025-07,4518,4304,-5630,-5523,-4.74
UAE_009,2025-08,2259,2152,-4153,-4141,-4.74
UAE_009,2025-09,2256,2201,-4773,-5515,-2.44
UAE_009,2025-10,2257,2161,-3931,-4226,-4.25
UAE_009,2025-11,1632,1773,-6336,-5731,8.64
UAE_009,2025-12,3180,3111,-1571,-1632,-2.17
UAE_010,2023-01,879,913,-4875,-4482,3.87
UAE_010,2023-02,1221,1280,-1051,-1016,4.83
UAE_010,2023-03,1419,1472,-4016,-3932,3.74
UAE_010,2023-04,1568,1664,-4140,-4245,6.12
UAE_010,2023-05,950,887,-4161,-4324,-6.63
UAE_010,2023-06,2196,2007,-7533,-7888,-8.61
UAE_010,2023-07,1215,1144,-7266,-7444,-5.84
UAE_010,2023-08,3728,3499,-5501,-5743,-6.14
UAE_010,2023-09,2903,2671,-5310,-5059,-7.99
UAE_010,2023-10,2619,2480,-3916,-4583,-5.31
UAE_010,2023-11,1382,1467,-2344,-2436,6.15
UAE_010,2023-12,2427,2355,-803,-835,-2.97
UAE_010,2024-01,2553,2604,-2677,-2764,2.0
UAE_010,2024-02,1291,1315,-1635,-1555,1.86
UAE_010,2024-03,2193,2317,-1265,-1269,5.65
UAE_010,2024-04,2902,3131,-894,-997,7.89
UAE_010,2024-05,3420,3666,-6672,-7323,7.19
UAE_010,2024-06,2843,2706,-1268,-1352,-4.82
UAE_010,2024-07,3553,3304,-5913,-6539,-7.01
UAE_010,2024-08,1964,1915,-3222,-3573,-2.49
UAE_010,2024-09,1939,2010,-6979,-7796,3.66
UAE_010,2024-10,1872,1899,-5248,-4964,1.44
UAE_010,2024-11,2278,2275,-4853,-4225,-0.13
UAE_010,2024-12,2106,1925,-4211,-3878,-8.59
UAE_010,2025-01,1173,1126,-4555,-4087,-4.01
UAE_010,2025-02,1734,1614,-4791,-4293,-6.92
UAE_010,2025-03,3110,3148,-5923,-5889,1.22
UAE_010,2025-04,1630,1765,-4636,-4342,8.28
UAE_010,2025-05,2456,2536,-1327,-1183,3.26
UAE_010,2025-06,2696,2880,-1630,-1433,6.82
UAE_010,2025-07,3543,3575,-4321,-4261,0.9
UAE_010,2025-08,4336,4243,-2287,-2247,-2.14
UAE_010,2025-09,2983,3239,-7400,-6596,8.58
UAE_010,2025-10,3895,3599,-2487,-2486,-7.6
UAE_010,2025-11,2483,2732,-2644,-3109,10.03
UAE_010,2025-12,1802,1954,-1158,-1279,8.44
UAE_011,2023-01,2372,2164,-6346,-5848,-8.77
UAE_011,2023-02,1917,1982,-2995,-3325,3.39
UAE_011,2023-03,1476,1592,-3974,-4074,7.86
UAE_011,2023-04,2760,3005,-1852,-1843,8.88
UAE_011,2023-05,2284,2092,-4992,-5518,-8.41
UAE_011,2023-06,1051,956,-7773,-6992,-9.04
UAE_011,2023-07,1831,1786,-3731,-4136,-2.46
UAE_011,2023-08,2966,2960,-8837,-8332,-0.2
UAE_011,2023-09,6797,6375,-5177,-5711,-6.21
UAE_011,2023-10,1185,1263,-8739,-8032,6.58
UAE_011,2023-11,2035,1962,-7115,-7521,-3.59
UAE_011,2023-12,898,959,-6375,-5747,6.79
UAE_011,2024-01,1748,1714,-968,-952,-1.95
UAE_011,2024-02,1352,1451,-3230,-3763,7.32
UAE_011,2024-03,2473,2457,-2380,-2168,-0.65
UAE_011,2024-04,2648,2574,-4183,-4113,-2.79
UAE_011,2024-05,1595,1710,-4746,-5533,7.21
UAE_011,2024-06,2837,2672,-5152,-5411,-5.82
UAE_011,2024-07,5402,5785,-7368,-7345,7.09
UAE_011,2024-08,1770,1744,-2905,-3064,-1.47
UAE_011,2024-09,3614,3780,-3498,-3767,4.59
UAE_011,2024-10,2175,2011,-5782,-5845,-7.54
UAE_011,2024-11,3269,3121,-5069,-5706,-4.53
UAE_011,2024-12,1191,1320,-3766,-3359,10.83
UAE_011,2025-01,2607,2580,-4658,-4399,-1.04
UAE_011,2025-02,2687,2459,-2309,-2157,-8.49
UAE_011,2025-03,3333,3047,-7177,-6608,-8.58
UAE_011,2025-04,1304,1446,-3466,-3809,10.89
UAE_011,2025-05,3203,2957,-3073,-3180,-7.68
UAE_011,2025-06,2989,2774,-8009,-8674,-7.19
UAE_011,2025-07,10375,10753,-7372,-6766,3.64
UAE_011,2025-08,7305,6672,-5518,-5223,-8.67
UAE_011,2025-09,1425,1437,-5900,-6449,0.84
UAE_011,2025-10,2252,2112,-3285,-2949,-6.22
UAE_011,2025-11,1029,1069,-1854,-1667,3.89
UAE_011,2025-12,1641,1674,-3461,-3264,2.01
UAE_012,2023-01,2847,3024,-3574,-3151,6.22
UAE_012,2023-02,2598,2849,-5378,-4804,9.66
UAE_012,2023-03,3172,3172,-7039,-6632,0.0
UAE_012,2023-04,2098,2269,-4122,-3735,8.15
UAE_012,2023-05,4229,3989,-2078,-2240,-5.68
UAE_012,2023-06,10242,10048,-10400,-9225,-1.89
UAE_012,2023-07,4080,4127,-1232,-1421,1.15
UAE_012,2023-08,2824,2913,-3882,-4002,3.15
UAE_012,2023-09,1836,2002,-4612,-4160,9.04
UAE_012,2023-10,8279,7887,-9876,-8813,-4.73
UAE_012,2023-11,4887,4946,-8134,-9112,1.21
UAE_012,2023-12,2185,2406,-4291,-4024,10.11
UAE_012,2024-01,3689,3747,-2293,-2070,1.57
UAE_012,2024-02,2332,2404,-6359,-7428,3.09
UAE_012,2024-03,3712,3511,-4091,-4306,-5.41
UAE_012,2024-04,1925,1878,-3264,-3734,-2.44
UAE_012,2024-05,3048,2774,-8274,-9694,-8.99
UAE_012,2024-06,5326,4904,-7702,-6818,-7.92
UAE_012,2024-07,19639,18798,-4344,-5066,-4.28
UAE_012,2024-08,4933,5130,-6130,-6215,3.99
UAE_012,2024-09,5075,5294,-10825,-10061,4.32
UAE_012,2024-10,2191,2073,-4390,-4577,-5.39
UAE_012,2024-11,5547,5902,-7243,-6605,6.4
UAE_012,2024-12,2610,2534,-4613,-5372,-2.91
UAE_012,2025-01,3941,3825,-7698,-6850,-2.94
UAE_012,2025-02,1996,1835,-5311,-5146,-8.07
UAE_012,2025-03,5625,5443,-7595,-6865,-3.24
UAE_012,2025-04,4322,3999,-3361,-3173,-7.47
UAE_012,2025-05,1313,1438,-3116,-3146,9.52
UAE_012,2025-06,5866,5735,-8026,-9351,-2.23
UAE_012,2025-07,18755,17549,-8637,-9820,-6.43
UAE_012,2025-08,8569,8848,-6337,-6814,3.26
UAE_012,2025-09,11746,11222,-6382,-6725,-4.46
UAE_012,2025-10,3371,3524,-4161,-4509,4.54
UAE_012,2025-11,2434,2282,-8985,-8626,-6.24
UAE_012,2025-12,5283,5433,-8073,-9015,2.84
UAE_013,2023-01,2069,1984,-2115,-1841,-4.11
UAE_013,2023-02,1196,1323,-4682,-5090,10.62
UAE_013,2023-03,1578,1512,-2381,-2165,-4.18
UAE_013,2023-04,2719,2570,-1195,-1280,-5.48
UAE_013,2023-05,1936,1925,-7123,-6750,-0.57
UAE_013,2023-06,1504,1485,-9665,-9353,-1.26
UAE_013,2023-07,2479,2298,-1435,-1561,-7.3
UAE_013,2023-08,2073,2257,-2131,-2350,8.88
UAE_013,2023-09,1781,1859,-3826,-3532,4.38
UAE_013,2023-10,1311,1299,-1887,-1676,-0.92
UAE_013,2023-11,1864,1831,-5116,-5773,-1.77
UAE_013,2023-12,771,845,-5848,-6066,9.6
UAE_013,2024-01,2880,2696,-5532,-5068,-6.39
UAE_013,2024-02,1249,1195,-5333,-5762,-4.32
UAE_013,2024-03,714,766,-4082,-3563,7.28
UAE_013,2024-04,2046,2225,-5871,-5307,8.75
UAE_013,2024-05,1469,1419,-6806,-6585,-3.4
UAE_013,2024-06,2114,2325,-1943,-1824,9.98
UAE_013,2024-07,1529,1651,-6118,-6900,7.98
UAE_013,2024-08,3220,3373,-3878,-4129,4.75
UAE_013,2024-09,3136,2902,-5467,-5948,-7.46
UAE_013,2024-10,1600,1701,-3057,-2895,6.31
UAE_013,2024-11,1248,1149,-1378,-1280,-7.93
UAE_013,2024-12,1026,1052,-1330,-1305,2.53
UAE_013,2025-01,1649,1669,-4084,-3780,1.21
UAE_013,2025-02,1952,1948,-5852,-5336,-0.2
UAE_013,2025-03,3571,3266,-4553,-4568,-8.54
UAE_013,2025-04,3040,2926,-3472,-3747,-3.75
UAE_013,2025-05,1939,1804,-7020,-6309,-6.96
UAE_013,2025-06,1576,1555,-6682,-7551,-1.33
UAE_013,2025-07,3975,4023,-8482,-7899,1.21
UAE_013,2025-08,2490,2359,-2195,-2161,-5.26
UAE_013,2025-09,1819,1890,-6643,-5917,3.9
UAE_013,2025-10,1061,1060,-3370,-2968,-0.09
UAE_013,2025-11,2532,2598,-1960,-2176,2.61
UAE_013,2025-12,1781,1737,-3783,-3481,-2.47
UAE_014,2023-01,8570,8940,-8971,-10026,4.32
UAE_014,2023-02,4563,4672,-3694,-4344,2.39
UAE_014,2023-03,4689,4791,-3072,-3399,2.18
UAE_014,2023-04,7330,6706,-4942,-5289,-8.51
UAE_014,2023-05,11911,11681,-11115,-11306,-1.93
UAE_014,2023-06,8819,8135,-8656,-8299,-7.76
UAE_014,2023-07,3590,3583,-4442,-3876,-0.19
UAE_014,2023-08,4782,4738,-6772,-6812,-0.92
